assists,gameDate,gameId,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,opponentTeamAbbrev,otLosses,penaltyMinutes,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,points,savePctg,saves,shotsAgainst,shutouts,teamAbbrev,ties,timeOnIce,wins
0,2018-04-05T23:30:00Z,2017021252,1,1,0,3,3.0655,1,SJS,0,0,CAN,1988-08-07,QC,11,1,2006,Jonathan,72,8473541,0,1,Bernier,Jonathan Bernier,CAN,G,L,184,0,0.9142,32,35,0,COL,0,3523,0
0,2018-04-05T23:30:00Z,2017021251,1,1,0,4,4.0122,0,MIN,0,0,USA,1986-01-21,CT,72,3,2005,Jonathan,73,8471734,0,1,Quick,Jonathan Quick,USA,G,L,218,0,0.8518,23,27,0,LAK,0,3589,1
0,2018-04-05T23:00:00Z,2017021241,1,1,0,2,2.0911,1,NJD,0,0,DNK,1989-10-02,,87,3,2012,Frederik,76,8475883,0,1,Andersen,Frederik Andersen,DNK,G,L,230,0,0.9487,37,39,0,TOR,0,3443,0
0,2018-04-05T23:00:00Z,2017021243,1,1,0,3,3.0,0,CAR,0,0,CAN,1985-04-09,ON,291,9,2003,Brian,74,8470880,0,1,Elliott,Brian Elliott,CAN,G,L,209,0,0.8636,19,22,0,PHI,0,3600,1
0,2018-04-05T23:00:00Z,2017021248,1,1,0,2,2.0338,1,WPG,0,0,USA,1994-01-22,NH,75,3,2012,Jon,78,8476903,0,1,Gillies,Jon Gillies,USA,G,L,223,0,0.923,24,26,0,CGY,0,3540,0
0,2018-04-05T23:00:00Z,2017021250,1,1,0,3,2.8776,0,ARI,0,0,SWE,1990-01-31,,31,2,2008,Jacob,78,8474593,0,1,Markstrom,Jacob Markstrom,SWE,G,L,196,0,0.8421,16,19,0,VAN,0,3753,1
0,2018-04-05T23:00:00Z,2017021244,1,1,0,3,3.0,0,WSH,0,0,FIN,1995-04-19,,99,4,2013,Juuse,71,8477424,0,1,Saros,Juuse Saros,FIN,G,L,180,0,0.9062,29,32,0,NSH,0,3600,1
0,2018-04-05T23:00:00Z,2017021249,1,1,0,4,4.1237,1,EDM,0,0,CAN,1993-12-21,ON,24,1,2012,Malcolm,74,8476876,0,1,Subban,Malcolm Subban,CAN,G,L,200,0,0.8787,29,33,0,VGK,0,3492,0
0,2018-04-05T23:00:00Z,2017021242,1,1,0,2,2.0483,1,NYI,0,0,CZE,1987-08-31,,41,2,2005,Ondrej,75,8471715,0,1,Pavelec,Ondrej Pavelec,CZE,G,L,212,0,0.909,20,22,0,NYR,0,3515,0
0,2018-04-05T23:00:00Z,2017021245,1,1,0,4,3.9779,0,CBJ,0,0,CAN,1994-05-25,ON,83,3,2012,Matt,76,8476899,0,1,Murray,Matt Murray,CAN,G,L,178,0,0.8666,26,30,0,PIT,0,3620,1
0,2018-04-05T23:00:00Z,2017021244,1,1,0,4,4.1582,1,NSH,0,0,DEU,1991-11-25,,112,4,2010,Philipp,73,8475831,0,1,Grubauer,Philipp Grubauer,DEU,G,L,191,0,0.862,25,29,0,WSH,0,3463,0
0,2018-04-05T23:00:00Z,2017021245,1,1,0,5,4.9099,0,PIT,1,0,RUS,1988-09-20,,,,,Sergei,74,8475683,0,1,Bobrovsky,Sergei Bobrovsky,RUS,G,L,182,0,0.8837,38,43,0,CBJ,0,3666,0
0,2018-04-05T23:00:00Z,2017021243,1,1,0,4,4.1237,1,PHI,0,0,USA,1988-12-22,VA,153,6,2007,Scott,78,8474152,0,1,Darling,Scott Darling,USA,G,L,232,0,0.8823,30,34,0,CAR,0,3492,0
0,2018-04-05T23:00:00Z,2017021242,1,1,0,1,1.0,0,NYR,0,0,SVK,1985-05-13,,271,9,2003,Jaroslav,71,8470860,0,1,Halak,Jaroslav Halak,SVK,G,L,183,0,0.9714,34,35,0,NYI,0,3600,1
0,2018-04-05T23:00:00Z,2017021250,1,1,0,4,3.8369,0,VAN,1,0,CAN,1990-05-05,SK,161,6,2009,Darcy,77,8475311,0,1,Kuemper,Darcy Kuemper,CAN,G,L,215,0,0.9,36,40,0,ARI,0,3753,0
0,2018-04-05T23:00:00Z,2017021249,1,1,0,3,3.0125,0,VGK,0,0,CAN,1987-07-05,ON,,,,Cam,76,8475660,0,1,Talbot,Cam Talbot,CAN,G,L,200,0,0.909,30,33,0,EDM,0,3585,1
0,2018-04-05T23:00:00Z,2017021241,1,1,0,1,1.0,0,TOR,0,0,USA,1989-07-04,NY,,,,Keith,75,8476234,0,1,Kinkaid,Keith Kinkaid,USA,G,L,195,0,0.9687,31,32,0,NJD,0,3600,1
0,2018-04-05T23:00:00Z,2017021248,1,1,0,1,1.0019,0,CGY,0,0,USA,1993-05-19,MI,130,5,2012,Connor,76,8476945,0,1,Hellebuyck,Connor Hellebuyck,USA,G,L,207,0,0.9687,31,32,0,WPG,0,3593,1
