faceoffWinPctg,faceoffsLost,faceoffsWon,gameDate,gameId,gameLocationCode,gamesPlayed,goalsAgainst,goalsFor,losses,opponentTeamAbbrev,otLosses,penaltyKillPctg,points,ppGoalsAgainst,ppGoalsFor,ppOpportunities,ppPctg,shNumTimes,shootoutGamesLost,shootoutGamesWon,shotsAgainst,shotsFor,teamAbbrev,teamId,ties,wins
0.431,33,25,2018-02-28T00:00:00Z,2017020974,R,1,5,6,0,WPG,0,0.5,2,1,1,2,0.5,2,0,0,39,32,NSH,18,0,1
0.4461,36,29,2017-10-21T23:00:00Z,2017020112,R,1,4,5,0,BOS,0,0.6666,2,1,0,2,0.0,3,0,0,31,42,BUF,7,0,1
0.4918,31,30,2017-11-08T00:30:00Z,2017020229,H,1,2,3,0,VGK,0,1.0,2,0,0,2,0.0,2,0,0,31,28,MTL,8,0,1
0.4583,26,22,2018-01-31T00:00:00Z,2017020762,R,1,1,3,0,BUF,0,0.75,2,1,0,0,0.0,4,0,0,28,28,NJD,1,0,1
0.5,25,25,2017-12-02T00:00:00Z,2017020390,H,1,1,5,0,CAR,0,1.0,2,0,2,7,0.2857,2,0,0,33,26,NYR,3,0,1
0.4259,31,23,2017-12-29T00:30:00Z,2017020570,H,1,1,3,0,MTL,0,0.6666,2,1,1,6,0.1666,3,0,0,32,34,TBL,14,0,1
0.4324,42,32,2018-01-21T00:30:00Z,2017020718,R,1,3,7,0,CHI,0,1.0,2,0,2,4,0.5,1,0,0,39,46,NYI,2,0,1
0.4583,26,22,2017-10-19T23:00:00Z,2017020097,R,1,0,1,0,PHI,0,1.0,2,0,0,2,0.0,5,0,0,28,24,NSH,18,0,1
0.5245,29,32,2018-02-19T00:00:00Z,2017020909,R,1,2,3,0,DET,0,0.0,2,1,0,2,0.0,1,0,0,29,34,TOR,10,0,1
0.5178,27,29,2018-02-10T00:00:00Z,2017020842,H,1,2,3,0,EDM,0,1.0,2,0,0,2,0.0,3,0,0,32,34,ANA,24,0,1
0.4313,29,22,2017-10-09T23:00:00Z,2017020038,R,1,0,2,0,ANA,0,1.0,2,0,1,4,0.25,5,0,0,43,29,CGY,20,0,1
0.5555,24,30,2017-11-23T00:00:00Z,2017020325,H,1,2,5,0,OTT,0,1.0,2,0,1,1,1.0,3,0,0,31,25,WSH,15,0,1
0.5087,28,29,2018-02-21T00:00:00Z,2017020923,R,1,2,3,0,STL,0,0.6666,2,1,0,2,0.0,3,0,0,33,23,SJS,28,0,1
0.4761,33,30,2017-12-10T23:00:00Z,2017020458,H,1,2,3,0,BUF,0,0.75,2,1,0,3,0.0,4,0,0,24,45,STL,19,0,1
0.6,24,36,2018-02-28T00:00:00Z,2017020971,H,1,2,3,0,OTT,0,0.8571,2,1,0,2,0.0,7,0,0,30,22,WSH,15,0,1
